cardiac_risk,stress_label,fatigue_label,stress_ratio,emg_rms
1,1,0,93.62344596330655,0.20039149869691858
0,0,0,0.1367489251401107,0.1996566937021288
0,0,0,0.138700570468228,0.19627304485443337
0,1,0,91.86884395655903,0.19722710981038877
0,0,1,0.11432203718557812,1.001420966150958
0,0,1,0.13236986370267145,1.013691038461815
0,0,0,0.11667431629216876,0.19975657343959657
1,1,0,137.33531865587796,0.20075345727128863
1,0,0,0.12228985999749388,0.19843603508943863
1,1,0,114.13598693774526,0.19945412064877518
0,1,0,104.66705353574872,0.20347026343983474
1,1,1,72.44461197529587,0.9971673315829043
1,1,1,86.64061525189707,0.993718946149568
0,0,0,0.13003706197417958,0.19693078842925416
0,0,0,0.11578020114637559,0.20398242900148028
0,1,1,101.84015912825616,1.0004035055762288
1,0,1,0.11449196497942872,1.0019350634576039
1,0,1,0.09836569480631614,1.0172751397931459
0,1,1,213.60408783308685,1.0282499249634451
1,0,0,0.11649753482241068,0.19920969967326077
1,0,1,0.1405041275304824,1.006111919360787
0,1,1,132.37222813524465,0.9982295138110119
0,0,1,0.1194147304637846,1.0019844994952067
0,0,1,0.13544328235562234,0.9868958615008714
0,0,1,0.1345146501207342,0.977898479866157
0,1,0,118.15843667287808,0.20075431542756192
0,0,1,0.14609277606725762,1.0221345497124847
1,0,1,0.1328458658306738,0.9989979785303305
0,0,1,0.14650195176098885,1.0242661410198073
1,1,1,117.31294101361502,1.0165700302126506
0,0,0,0.11787114104303628,0.1972202714362572
0,0,0,0.11377419005364327,0.20054768073747897
0,1,1,139.3115418811812,0.9921714442841437
0,0,0,0.13753013220365748,0.19880153285330673
0,1,1,83.99139381937952,1.0191932323720339
1,0,1,0.14281256146019042,1.001134382016289
1,0,1,0.12547691763632352,0.9915370631498083
0,0,0,0.12414826698838195,0.20008001871905606
1,1,1,106.72133087166499,0.9946387353647854
1,0,0,0.11779839559758506,0.19899407385840445
0,1,0,97.87448550728512,0.20284804275425575
0,1,0,86.68922204602943,0.19742828377991256
1,1,0,132.72088776622164,0.19807542041351847
1,0,0,0.10085515713624622,0.2020970077607787
0,0,0,0.1412324092914571,0.1985173032678248
0,0,0,0.14340691330955443,0.2004986620951075
0,1,0,72.77627076075834,0.19897439608276019
0,0,0,0.13669010031557557,0.200749767956489
0,1,0,139.0033487127898,0.20321838648108365
0,0,1,0.14044528370058215,0.9953013695435508
1,1,0,137.07408066111924,0.19763632554725255
1,1,1,145.93949153818863,0.9992528563222395
0,1,1,101.27729897337593,0.9904764424537049
0,1,0,70.72439750217696,0.1970049231426053
