emg_rms,activity_level,EMG_Abnormal
0.5993428306022466,4303.763173781946,1
0.4723471397657631,5236.2513423658675,1
0.6295377076201385,4506.5473473871425,0
0.8046059712816052,6276.045117365299,1
0.4531693250553328,8992.946328654782,0
0.4531726086101639,4072.394607146988,0
0.8158425631014783,8502.051244421036,0
0.6534869458305818,4045.819819132781,1
0.4061051228130096,3880.9319687577895,1
0.6085120087171929,8046.486545858033,1
0.40731646143750755,8304.840945019041,0
0.4068540492859486,8128.524841906636,0
0.5483924543132068,2710.506479454647,1
0.11734395106844042,4835.122554819873,0
0.1550164334973934,8057.471480008304,0
0.38754249415180547,6103.8546014097365,0
0.29743377593311526,3315.7678845063397,0
0.5628494665190548,7145.794847813604,0
0.3183951848957578,4212.981852521324,0
0.2175392597329417,10486.31212098053,0
0.7931297537843108,9862.103656045647,0
0.45484473990269286,7510.243565888918,0
0.5135056409375848,9402.516761924435,0
0.21505036275730866,6161.978375308453,0
0.3911234550949635,7913.593735937539,0
0.5221845179419732,9694.300738255188,0
0.2698012845155394,6613.746704485782,1
0.5751396036691344,5362.032071214291,0
0.379872262016239,1738.4451045572105,1
0.44166125004134466,5792.166185696265,0
0.37965867755412064,8058.557961405779,0
0.8704556369017875,8364.083568919075,1
0.4973005550524132,7260.912664296025,0
0.2884578142088199,4646.7522625944,0
0.6645089824206378,1057.9460776310234,1
0.25583127000579553,4761.962254988162,0
0.5417727190009511,5239.137822365122,1
0.10806597522404487,5217.677582024965,0
0.23436279022031387,7546.3908924448115,0
0.5393722471738247,10964.1910275371,0
0.6476933159990821,6308.823004602733,0
0.534273656237994,5458.170527108846,0
0.4768703435223519,5351.945467489769,0
0.43977926088214225,6310.961917269286,0
0.20429560192651453,3929.2655991290026,0
0.35603115832105825,6300.496396865137,0
0.4078722458080425,7127.0308408294995,0
0.7114244452437831,6524.21515893622,0
0.5687236579136923,7143.854835011953,0
0.1473919689274532,7084.369023371339,0
0.564816793878959,1570.2582943838906,1
0.4229835439167367,7592.175395988508,0
0.3646155999388082,4322.462885843866,0
0.6223352577681736,3260.402092490105,1
0.7061999044991902,3238.8704303625095,1
0.6862560238232397,7083.854026181323,1
0.3321564953554723,5443.562681937868,0
0.43815752482975706,1795.0780400364729,1
0.5662526862807128,7195.094537980709,0
0.6951090254244718,2400.9796730029316,1
0.404165152430942,6349.553396295527,0
0.46286820466723655,6596.247314182636,0
0.27873300519879435,8213.942704237612,0
0.26075867518386586,10454.211966167128,0
0.6625051644788396,2588.309185248646,1
0.7712480057141646,5868.815359842376,0
0.48559797568393326,5309.161762389456,1
0.7007065795784049,7084.374214902406,0
0.5723272050095268,6539.171927334047,0
0.37097604907897513,5118.634393158451,0
0.5722791211016828,4897.744528472861,1
0.8076073132931938,3208.872862039881,1
0.4928347921780097,8469.653956016273,0
0.8129287311628013,7148.010453998823,0
0.05,8294.420494487844,0
0.6643805008750447,5224.009658811216,1
0.5174094136476343,4357.911328263924,1
0.4401985299068265,3304.2123334269304,1
0.5183521553071004,6897.2939593516485,0
0.10248621707982142,3400.516938679413,0
0.4560656224324976,10621.657672416375,0
0.5714225143023492,2730.893547266399,1
0.7955788089483032,6684.150298031254,0
0.39634595634527053,9917.136768034467,0
0.33830127942136246,7497.724398159522,0
0.3996485912830927,6439.184281229448,0
0.6830804235404149,3578.790882595261,1
0.5657502219319369,2545.5770285807403,1
